receiver,positionX,positionY,positionZ,speedX,speedY,speedZ,headingX,headingY,headingZ,distance,sender,senderPosX,senderPosY,senderPosZ,senderSpeed,senderSpeedX,senderSpeedY,senderSpeedZ,senderHeadingX,senderHeadingY,senderHeadingZ,senderAccel,senderGPSPosX,senderGPSPosY,senderGPSPosZ,attackType,senderType,senderDistTraveled,isRSU,RSS,arrivalTime
28,1484.524963,588.294038,0.000000,-3.870965,-3.411222,0.000000,-0.750255,-0.661149,0.000000,123.495,34,1365.229805,556.362834,0.000000,0.000000,0.000000,0.000000,0.000000,0.539534,0.841964,0.000000,0,0.000000,0.000000,0.000000,0,0,0,0,-80.2148,9.02033
34,1365.229805,556.362834,0.000000,0.000000,0.000000,0.000000,0.539534,0.841964,0.000000,1409.34,28,50.000000,50.000000,0.000000,5.159536,-3.870965,-3.411222,0.000000,-0.750255,-0.661149,0.000000,2.57302,-48.051629,-15.828721,0.000000,2,1,0,0,-80.0719,9.52901
28,1479.278001,583.446622,0.000000,-5.188722,-4.870597,0.000000,-0.729104,-0.684402,0.000000,113.322,34,1369.182825,556.597053,0.000000,2.216935,1.196370,1.866414,0.000000,0.539650,0.841889,0.000000,2.21694,-48.039297,-15.833126,0.000000,0,0,3.95995,0,-79.5655,10.0203
34,1369.182825,556.597053,0.000000,1.196370,1.866414,0.000000,0.539650,0.841889,0.000000,1413.11,28,50.000000,50.000000,0.000000,7.116569,-5.188722,-4.870597,0.000000,-0.729104,-0.684402,0.000000,1.95703,-48.051629,-15.828721,0.000000,2,1,0,0,-79.3155,10.529
28,1472.852929,577.211338,0.000000,-6.301467,-6.274860,0.000000,-0.708601,-0.705609,0.000000,103.091,34,1371.241475,559.808681,0.000000,3.971449,2.143193,3.343521,0.000000,0.539650,0.841889,0.000000,1.75451,-48.039260,-15.833128,0.000000,0,0,3.81479,0,-78.9245,11.0203
34,1371.241475,559.808681,0.000000,2.143193,3.343521,0.000000,0.539650,0.841889,0.000000,1416.19,28,50.000000,50.000000,0.000000,8.892826,-6.301467,-6.274860,0.000000,-0.708601,-0.705609,0.000000,1.77626,-48.051629,-15.828721,0.000000,2,1,0,0,-78.5159,11.529
28,1466.870428,567.970304,0.000000,-6.370946,-8.472913,0.000000,-0.600981,-0.799263,0.000000,91.3244,34,1375.624000,564.198358,0.000000,6.472635,4.670813,4.480905,0.000000,0.721625,0.692285,0.000000,2.50119,-48.039240,-15.833156,0.000000,0,0,6.20289,0,-77.9306,12.0203
34,1375.624000,564.198358,0.000000,4.670813,4.480905,0.000000,0.721625,0.692285,0.000000,1421.86,28,50.000000,50.000000,0.000000,10.600907,-6.370946,-8.472913,0.000000,-0.600981,-0.799263,0.000000,1.70808,-48.051629,-15.828721,0.000000,2,1,0,0,-77.5298,12.529
28,1465.058174,561.611926,0.000000,-1.684377,-5.909718,0.000000,-0.274102,-0.961701,0.000000,84.0004,34,1381.457307,569.794493,0.000000,8.415546,6.072865,5.825952,0.000000,0.721625,0.692285,0.000000,1.94291,-48.039199,-15.833195,0.000000,0,0,8.08358,0,-76.9261,13.0203
34,1381.457307,569.794493,0.000000,6.072865,5.825952,0.000000,0.721625,0.692285,0.000000,1429.32,28,50.000000,50.000000,0.000000,6.145070,-1.684377,-5.909718,0.000000,-0.274102,-0.961701,0.000000,-4.45584,-48.051629,-15.828721,0.000000,2,1,0,0,-76.5215,13.529
28,1464.609064,559.676185,0.000000,-0.474978,-1.790636,0.000000,-0.256390,-0.966573,0.000000,75.7539,34,1390.319043,574.496421,0.000000,10.453132,9.167980,5.021566,0.000000,0.877056,0.480389,0.000000,2.03759,-48.039144,-15.833245,0.000000,0,0,10.0319,0,-75.6562,14.0203
34,1390.319043,574.496421,0.000000,9.167980,5.021566,0.000000,0.877056,0.480389,0.000000,1439.29,28,50.000000,50.000000,0.000000,1.852561,-0.474978,-1.790636,0.000000,-0.256390,-0.966573,0.000000,-4.29251,-48.051629,-15.828721,0.000000,2,1,0,0,-75.1285,14.529
28,1464.551802,559.136971,0.000000,-0.120768,-0.489301,0.000000,-0.239626,-0.970865,0.000000,64.9243,34,1402.284857,577.521422,0.000000,12.905597,12.810221,1.566102,0.000000,0.992610,0.121351,0.000000,2.45246,-48.039060,-15.833286,0.000000,0,0,12.3423,0,-73.8962,15.0203
34,1402.284857,577.521422,0.000000,12.810221,1.566102,0.000000,0.992610,0.121351,0.000000,1451.53,28,50.000000,50.000000,0.000000,0.503985,-0.120768,-0.489301,0.000000,-0.239626,-0.970865,0.000000,-1.34858,-48.051629,-15.828721,0.000000,2,1,0,0,-73.2075,15.529
